row,col,code,name
4,3,M,Melbourne - Inner
3,4,M-IE,Melbourne - Inner East
4,4,M-IS,Melbourne - Inner South
3,3,M-W,Melbourne - West
2,4,M-NE,Melbourne - North East
2,3,M-NW,Melbourne - North West
3,5,M-OE,Melbourne - Outer East
4,5,M-SE,Melbourne - South East
5,5,MP,Mornington Peninsula
4,2,G,Geelong
2,2,Ba,Ballarat
1,3,Be,Bendigo
2,5,H,Hume
1,4,S,Shepparton
3,6,LG,Latrobe - Gippsland        
4,1,WSW,Warrnambool and South West
1,2,NW,North West
